RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,TO SECURITY GROUP,FROM TYPE,DESCRIPTION,DIRECTION,Notes
136,Mgt_C2SVPN,8081,8081,tcp,Mgt_ToolingALB-06,Group,Mgt_C2SVPN to Mgt_ToolingALB-06,Ingress,
137,Mgt_BndrySvcALB-07,8081,8081,tcp,Mgt_RevProxy,Group,Mgt_BndrySvcALB-07 to Mgt_RevProxy,Ingress,
138,Mgt_C2SVPN,53,53,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
139,Mgt_C2SVPN,88,88,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
140,Mgt_C2SVPN,135,135,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
141,Mgt_C2SVPN,389,389,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
142,Mgt_C2SVPN,445,445,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
143,Mgt_C2SVPN,464,464,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
144,Mgt_C2SVPN,636,636,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
145,Mgt_C2SVPN,1024,65535,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
146,Mgt_C2SVPN,3268,3269,tcp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
147,Mgt_C2SVPN,53,53,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
148,Mgt_C2SVPN,88,88,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
149,Mgt_C2SVPN,123,123,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
150,Mgt_C2SVPN,138,138,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
151,Mgt_C2SVPN,389,389,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
152,Mgt_C2SVPN,445,445,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
153,Mgt_C2SVPN,464,464,udp,Active Directory,Group,Mgt_C2SVPN to Active Directory,Traversal,
154,Mgt_S2SVPN,443,443,tcp,Mgt_BndrySvcALB-16,Group,Mgt_S2SVPN to Mgt_BndrySvcALB-16,Ingress,
155,Mgt_S2SVPN,22,22,tcp,MGMTTemp,Group,Mgt_S2SVPN to MGMTTemp,Ingress,
156,Mgt_S2SVPN,22,22,tcp,APPDATATemp,Group,Mgt_S2SVPN to APPDATATemp,Ingress,
157,Mgt_S2SVPN,22,22,tcp,DMZTemp,Group,Mgt_S2SVPN to DMZTemp,Ingress,
158,Mgt_S2SVPN,5985,5985,tcp,MGMTTemp,Group,Mgt_S2SVPN to MGMTTemp,Ingress,
159,Mgt_S2SVPN,5985,5985,tcp,APPDATATemp,Group,Mgt_S2SVPN to APPDATATemp,Ingress,
160,Mgt_S2SVPN,5985,5985,tcp,DMZTemp,Group,Mgt_S2SVPN to DMZTemp,Ingress,
161,Mgt_S2SVPN,5986,5986,tcp,MGMTTemp,Group,Mgt_S2SVPN to MGMTTemp,Ingress,
162,Mgt_S2SVPN,5986,5986,tcp,APPDATATemp,Group,Mgt_S2SVPN to APPDATATemp,Ingress,
163,Mgt_S2SVPN,5986,5986,tcp,DMZTemp,Group,Mgt_S2SVPN to DMZTemp,Ingress,
164,Mgt_S2SVPN,443,443,tcp,Mgt_BndrySvcALB-07,Group,Mgt_S2SVPN to Mgt_BndrySvcALB-07,Ingress,
165,Mgt_S2SVPN,80,80,tcp,Mgt_BndrySvcALB-07,Group,Mgt_S2SVPN to Mgt_BndrySvcALB-07,Ingress,
166,Mgt_S2SVPN,8081,8081,tcp,Mgt_BndrySvcALB-07,Group,Mgt_S2SVPN to Mgt_BndrySvcALB-07,Ingress,
170,Mgt_S2SVPN,389,389,tcp,Active Directory,Group,Mgt_S2SVPN to Active Directory,Traversal,
183,Mgt_ESearch,9200,9400,tcp,Mgt_ESearch,Group,Mgt_ESearch to Mgt_ESearch,Ingress,
184,Mgt_ESearch,9200,9400,tcp,Mgt_Kibana,Group,Mgt_ESearch to Mgt_Kibana,Ingress,
185,Mgt_JumpSvr,22,22,tcp,AppD_RHEL_Instances,Group,Mgt_JumpSvr to AppD_RHEL_Instances,Traversal,
186,Mgt_JumpSvr,22,22,tcp,APPDATATemp,Group,Mgt_JumpSvr to APPDATATemp,Traversal,
187,Mgt_JumpSvr,22,22,tcp,DMZTemp,Group,Mgt_JumpSvr to DMZTemp,Traversal,
188,Mgt_JumpSvr,22,22,tcp,MGMTTemp,Group,Mgt_JumpSvr to MGMTTemp,Traversal,
189,Mgt_JumpSvr,22,22,tcp,Mgt_RHEL_Instances,Group,Mgt_JumpSvr to Mgt_RHEL_Instances,Traversal,
190,Mgt_JumpSvr,22,22,tcp,dmz_RHEL_Instances,Group,Mgt_JumpSvr to dmz_RHEL_Instances,Traversal,
191,Mgt_JumpSvr,22,22,tcp,MGMTTemp,Group,Mgt_JumpSvr to MGMTTemp,Traversal,
192,Mgt_JumpSvr,22,22,tcp,APPDATATemp,Group,Mgt_JumpSvr to APPDATATemp,Traversal,
193,Mgt_JumpSvr,22,22,tcp,DMZTemp,Group,Mgt_JumpSvr to DMZTemp,Traversal,
194,Mgt_Logstash,9200,9400,tcp,Mgt_ESearch,Group,Mgt_Logstash to Mgt_ESearch,Ingress,
