RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
62,APPDATATemp,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to APPDATATemp,Ingress,
63,APPDATATemp,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to APPDATATemp,Ingress,
64,Mgt_FTS,2222,2222,tcp,172.23.64.0/19,CIDR,172.23.192.0/19 to connect via 2222 to Mgt_FTS,Ingress,(C2S + S2S)
65,Mgt_BndrySvcALB-16,443,443,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 443 to Mgt_BndrySvcALB-16,Ingress,
66,Mgt_RDGW,80,80,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 80 to Mgt_RDGW,Ingress,
67,Mgt_RDGW,3391,3391,udp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 3391 to Mgt_RDGW,Ingress,
68,Mgt_RevProxy,443,443,tcp,Mgt_BndrySvcALB-07,Group,Mgt_BndrySvcALB-07 to connect via 443 to Mgt_RevProxy,Ingress,
69,Mgt_BndrySvcALB-07,443,443,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 443 to Mgt_BndrySvcALB-07,Ingress,
70,Mgt_RevProxy,80,80,tcp,Mgt_BndrySvcALB-07,Group,Mgt_BndrySvcALB-07 to connect via 80 to Mgt_RevProxy,Ingress,
71,Mgt_BndrySvcALB-07,80,80,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 80 to Mgt_BndrySvcALB-07,Ingress,
72,Mgt_RevProxy,8081,8081,tcp,Mgt_BndrySvcALB-07,Group,Mgt_BndrySvcALB-07 to connect via 8081 to Mgt_RevProxy,Ingress,
73,Mgt_BndrySvcALB-07,8081,8081,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 8081 to Mgt_BndrySvcALB-07,Ingress,
74,Mgt_JumpSvr,22,22,tcp,172.23.64.0/19,CIDR,172.23.192.0/19 to connect via 22 to Mgt_JumpSvr,Ingress,(C2S + S2S)
75,AppD_RHEL_Instances,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to AppD_RHEL_Instances,Traversal,
76,Mgt_RHEL_Instances,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to Mgt_RHEL_Instances,Traversal,
